matrix;0;20;30;40;50;60;65;70;75;80;85;90;95
1950;83.4;63.6;51.4;40.8;29.6;21.3;16.5;12.6;8.5;6.4;4.8;3.5;2.9
1960;85.6;65.2;54;42.1;31.9;21.4;18;13.9;10;7.1;5.2;3.8;3
1970;87.8;66.6;55.5;44.5;33.1;23.4;18.5;14;11.3;8.1;5.4;3.5;3.1
1980;89.5;68;56.9;45.9;35.2;24.6;20;15.6;11.5;8;6.2;4.3;2.9
1990;90.6;69.4;58.3;47.3;36.6;26.4;21.4;16.6;12.5;9;6.1;4;3.2
2000;91.5;70.6;59.7;48.7;37.9;27.6;22.7;18.1;13.6;9.6;6.6;4.4;3
2001;91.5;70.7;59.8;48.8;38;27.8;22.8;18.1;13.7;9.8;6.7;4.5;3
2002;91.6;70.8;60;49;38.1;27.9;23;18.2;13.8;9.9;6.7;4.6;2.9
2003;91.7;70.9;60.1;49.1;38.2;27.9;23.1;18.4;13.9;10;6.8;4.5;3
2004;91.8;71;60.2;49.2;38.4;28.1;23.2;18.5;14;10;6.8;4.5;3.1
2005;91.8;71.1;60.3;49.4;38.5;28.2;23.3;18.6;14.2;10.2;6.7;4.6;3.2
2006;91.8;71.1;60.4;49.5;38.6;28.3;23.5;18.7;14.2;10.2;7;4.6;3.2
2007;92;71.2;60.5;49.6;38.8;28.4;23.5;18.8;14.3;10.3;7;4.6;3.3
2008;92;71.3;60.6;49.8;38.9;28.5;23.6;18.9;14.5;10.4;7.1;4.6;3.2
2009;92.1;71.4;60.7;49.9;39;28.7;23.8;19;14.6;10.4;7.1;4.6;3.1
2010;92.1;71.5;60.8;50;39.2;28.8;23.9;19.1;14.6;10.6;7.2;4.6;3.1
2011;92.2;71.5;60.9;50.1;39.3;28.9;24;19.3;14.7;10.6;7.2;4.7;3.1
2012;92.2;71.6;61;50.2;39.4;29;24.1;19.3;14.9;10.7;7.3;4.8;3.1
2013;92.3;71.7;61;50.3;39.6;29.1;24.2;19.5;15;10.8;7.4;4.8;3.1
2014;92.3;71.7;61.1;50.4;39.7;29.3;24.3;19.6;15;10.9;7.5;4.9;3.3
2015;92.4;71.8;61.2;50.5;39.8;29.4;24.4;19.7;15.1;11;7.5;5;3.3
2016;92.5;71.9;61.3;50.6;39.9;29.5;24.5;19.8;15.2;11.1;7.6;5;3.4
2017;92.5;71.9;61.4;50.7;40;29.6;24.6;19.9;15.3;11.2;7.7;5.1;3.4
2018;92.6;72;61.4;50.8;40.1;29.7;24.7;20;15.4;11.3;7.8;5.2;3.5
2019;92.6;72;61.5;50.9;40.2;29.8;24.8;20.1;15.5;11.4;7.9;5.2;3.5
2020;92.7;72.1;61.6;51;40.4;30;25;20.2;15.6;11.5;8;5.3;3.6
2021;92.7;72.2;61.6;51;40.5;30.1;25.1;20.2;15.7;11.5;8;5.4;3.6
2022;92.8;72.2;61.7;51.1;40.6;30.2;25.2;20.3;15.8;11.6;8.1;5.4;3.7
2023;92.8;72.3;61.8;51.2;40.6;30.3;25.3;20.4;15.9;11.7;8.2;5.5;3.7
2024;92.9;72.3;61.8;51.3;40.7;30.4;25.4;20.5;16;11.8;8.3;5.6;3.8
2025;92.9;72.4;61.9;51.4;40.8;30.5;25.5;20.6;16;11.9;8.3;5.6;3.8
2026;93;72.4;62;51.4;40.9;30.6;25.6;20.7;16.1;11.9;8.4;5.7;3.9
2027;93.1;72.5;62;51.5;41;30.7;25.7;20.8;16.2;12;8.5;5.8;3.9
2028;93.1;72.6;62.1;51.6;41.1;30.8;25.8;20.9;16.3;12.1;8.5;5.8;3.9
2029;93.2;72.6;62.2;51.6;41.2;30.9;25.8;21;16.4;12.2;8.6;5.9;4
2030;93.2;72.7;62.2;51.7;41.2;30.9;25.9;21.1;16.5;12.2;8.7;5.9;4
