matrix;0;20;30;40;50;60;65;70;75;80;85;90;95
1950;77.5;57;44.5;34.5;24.3;18.7;14.8;11.4;7.7;5.9;4.4;3.6;2.9
1960;80.1;59.7;47.8;35.6;25.8;16.8;15.1;12.1;9.1;6.6;4.7;3.7;3
1970;82.9;61.6;50.6;38.8;27;18.2;14.2;10.9;9.4;7;4.9;3.4;3
1980;85.4;63.3;52.5;41.3;29.8;19.5;15.5;11.9;8.9;6.4;5.4;4;2.5
1990;87.1;65.3;54.2;43.2;32.3;21.8;17.2;13;9.8;7;4.9;3.4;3
2000;88.2;67;56.1;45;34.1;24;19.3;14.9;11;7.8;5.5;3.7;2.6
2001;88.3;67.1;56.3;45.2;34.3;24.2;19.4;15;11.1;8;5.5;3.9;2.6
2002;88.5;67.2;56.4;45.4;34.5;24.3;19.7;15.2;11.3;8;5.5;4;2.6
2003;88.6;67.3;56.6;45.6;34.7;24.5;19.9;15.4;11.4;8.1;5.6;3.9;2.6
2004;88.7;67.5;56.7;45.8;34.8;24.7;20;15.5;11.6;8.2;5.7;4;2.8
2005;88.8;67.6;56.9;45.9;35;24.9;20.1;15.8;11.8;8.4;5.6;3.9;2.8
2006;88.8;67.7;57;46;35.1;25;20.3;15.9;11.9;8.4;5.8;3.9;3
2007;89;67.8;57.1;46.2;35.3;25.2;20.4;16.1;12;8.5;5.8;3.9;3.1
2008;89.1;67.9;57.2;46.3;35.4;25.3;20.6;16.3;12.1;8.7;5.9;3.9;2.9
2009;89.1;68;57.3;46.5;35.6;25.4;20.8;16.3;12.2;8.7;6;4;2.9
2010;89.2;68.2;57.5;46.6;35.8;25.6;20.9;16.5;12.4;8.8;6.1;3.9;2.7
2011;89.3;68.2;57.6;46.8;35.9;25.8;21.1;16.6;12.5;9;6.1;4;2.7
2012;89.4;68.3;57.7;46.9;36;25.9;21.2;16.8;12.7;9;6.1;4.1;2.6
2013;89.4;68.4;57.8;47;36.2;26;21.3;16.9;12.8;9.1;6.3;4.2;2.8
2014;89.5;68.5;57.9;47.1;36.3;26.2;21.5;17;12.9;9.3;6.3;4.3;2.9
2015;89.6;68.6;58;47.3;36.5;26.3;21.6;17.2;13;9.4;6.4;4.3;3
2016;89.6;68.7;58.1;47.4;36.6;26.4;21.7;17.3;13.1;9.5;6.5;4.4;3
2017;89.7;68.8;58.2;47.5;36.8;26.6;21.8;17.4;13.2;9.6;6.6;4.5;3.1
2018;89.8;68.9;58.2;47.6;36.9;26.7;22;17.5;13.4;9.7;6.7;4.6;3.1
2019;89.9;69;58.3;47.7;37;26.8;22.1;17.6;13.5;9.8;6.8;4.6;3.2
2020;89.9;69;58.4;47.8;37.1;27;22.2;17.7;13.6;9.9;6.9;4.7;3.3
2021;90;69.1;58.5;47.9;37.3;27.1;22.3;17.8;13.7;10;7;4.8;3.3
2022;90.1;69.2;58.6;48;37.4;27.2;22.4;17.9;13.8;10.1;7.1;4.9;3.4
2023;90.1;69.3;58.7;48.1;37.5;27.3;22.5;18;13.9;10.2;7.2;5;3.4
2024;90.2;69.4;58.8;48.2;37.6;27.4;22.6;18.1;14;10.3;7.3;5;3.5
2025;90.3;69.4;58.9;48.3;37.7;27.5;22.8;18.2;14.1;10.4;7.3;5.1;3.5
2026;90.3;69.5;59;48.4;37.8;27.7;22.9;18.3;14.1;10.5;7.4;5.2;3.6
2027;90.4;69.6;59;48.5;37.9;27.8;23;18.4;14.2;10.5;7.5;5.2;3.6
2028;90.5;69.7;59.1;48.5;38;27.9;23.1;18.5;14.3;10.6;7.6;5.3;3.7
2029;90.5;69.8;59.2;48.6;38.1;28;23.2;18.6;14.4;10.7;7.6;5.3;3.7
2030;90.6;69.8;59.3;48.7;38.2;28.1;23.3;18.7;14.5;10.8;7.7;5.4;3.8
